Category,ElmtName,Levels,ElmtNot,Element,AFNot,-5,-4,-3,-2,-1,BASE,1,2,3,4,5,DGrade,ElmntLvl,AddFeat,AFLvl
LINEAR AND ROTATING ELEMENTS,Line ,Level 2,L2,L,,-1.0,-0.8,-0.6,-0.4,-0.2,2.0,0.2,0.4,0.6,0.8,1.0,0,2,,
LINEAR AND ROTATING ELEMENTS,Line ,Level 3,L3,L,,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,3,,
LINEAR AND ROTATING ELEMENTS,Line ,Level 4,L4,L,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,4,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level B,CB,C,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level 1,C1,C,,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,1,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level 2,C2,C,,-1.0,-0.8,-0.6,-0.4,-0.2,2.0,0.2,0.4,0.6,0.8,1.0,0,2,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level 3,C3,C,,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,3,,
LINEAR AND ROTATING ELEMENTS,Circle ,Level 4,C4,C,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,4,,
LINEAR AND ROTATING ELEMENTS,Wheel ,Level B,WB,W,,-0.5,-0.4,-0.3,-0.2,-0.1,1.0,0.1,0.2,0.3,0.4,0.5,0,B,,
LINEAR AND ROTATING ELEMENTS,Wheel ,Level 1,W1,W,,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,1,,
LINEAR AND ROTATING ELEMENTS,Wheel ,Level 2,W2,W,,-1.0,-0.8,-0.6,-0.4,-0.2,2.0,0.2,0.4,0.6,0.8,1.0,0,2,,
LINEAR AND ROTATING ELEMENTS,Wheel ,Level 3,W3,W,,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,3,,
LINEAR AND ROTATING ELEMENTS,Wheel ,Level 4,W4,W,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,4,,
MIXED ELEMENT,MIXED ELEMENT,Level 1,Mi1,Mi,,-2.0,-1.6,-1.2,-0.8,-0.4,4.0,0.4,0.8,1.2,1.6,2.0,0,1,,
MOVE ELEMENT,MOVE ELEMENT,Level B,MEB,ME,,-0.75,-0.6,-0.45,-0.3,-0.15,1.5,0.15,0.3,0.45,0.6,0.75,0,B,,
MOVE ELEMENT,MOVE ELEMENT,Level 1,ME1,ME,,-1.5,-1.2,-0.9,-0.6,-0.3,3.0,0.3,0.6,0.9,1.2,1.5,0,1,,
MOVE ELEMENT,MOVE ELEMENT,Level 1,ME1<,ME,,-1.38,-1.1,-0.83,-0.55,-0.28,2.75,0.28,0.55,0.83,1.1,1.38,1,1,,
MOVE ELEMENT,MOVE ELEMENT,Level 1,ME1<<,ME,,-1.13,-0.9,-0.68,-0.45,-0.23,2.25,0.23,0.45,0.68,0.9,1.13,2,1,,
MOVE ELEMENT,MOVE ELEMENT,Level 2,ME2,ME,,-2.25,-1.8,-1.35,-0.9,-0.45,4.5,0.45,0.9,1.35,1.8,2.25,0,2,,
MOVE ELEMENT,MOVE ELEMENT,Level 2,ME2<,ME,,-2.13,-1.7,-1.28,-0.85,-0.43,4.25,0.43,0.85,1.28,1.7,2.13,1,2,,
MOVE ELEMENT,MOVE ELEMENT,Level 2,ME2<<,ME,,-1.88,-1.5,-1.13,-0.75,-0.38,3.75,0.38,0.75,1.13,1.5,1.88,2,2,,
MOVE ELEMENT,MOVE ELEMENT,Level 3,ME3,ME,,-3.0,-2.4,-1.8,-1.2,-0.6,6.0,0.6,1.2,1.8,2.4,3.0,0,3,,
